step,traj/steps_mean,traj/steps_min,traj/steps_max,traj/env_time_mean,traj/env_time_min,traj/env_time_max,traj/llm_time_mean,traj/llm_time_min,traj/llm_time_max,traj/total_time_mean,traj/total_time_min,traj/total_time_max,traj/token_mismatch_mean,traj/token_mismatch_min,traj/token_mismatch_max,batch/solve_none,batch/solve_all,batch/solve_partial,actor/entropy,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,actor/pg_clipfrac,actor/ppo_kl,actor/pg_clipfrac_lower,actor/pg_loss,actor/grad_norm,perf/mfu/actor,perf/max_memory_allocated_gb,perf/max_memory_reserved_gb,perf/cpu_memory_used_gb,actor/lr,critic/score/mean,critic/score/max,critic/score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,response_length_non_aborted/mean,response_length_non_aborted/max,response_length_non_aborted/min,response_length_non_aborted/clip_ratio,response/aborted_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/collect_trajectory,timing_s/transform_trajectory,timing_s/old_log_prob,timing_s/adv,timing_s/update_actor,timing_s/update_weights,timing_s/step,timing_per_token_ms/adv,timing_per_token_ms/update_actor,timing_s/save_checkpoint
1,np.float64(3.0),np.int64(3),np.int64(3),np.float64(95.90547040104866),np.float64(30.568498373031616),np.float64(656.2671608924866),np.float64(191.04464863985777),np.float64(76.0871229171753),np.float64(356.0926308631897),np.float64(286.95011904090643),np.float64(139.97956347465515),np.float64(786.1793351173401),np.float64(0.03125),np.float64(0.0),np.float64(1.0),5.0,0.0,3.0,0.2338922768831253,658594.0,658594.0,0.0,658594.0,658594.0,658594.0,np.float64(0.0016579837538301945),np.float64(2.5565800115145976e-05),np.float64(0.0),np.float64(0.015357607354720434),np.float64(0.19449783734685133),np.float64(0.03231541892673561),np.float64(33.514527320861816),np.float64(55.685546875),np.float64(1202.9358100891113),np.float64(1e-06),0.0234375,0.5,0.0,0.0234375,0.5,0.0,-0.0021354337222874165,2.4748597145080566,-0.35355138778686523,-0.0021354337222874165,2.4748597145080566,-0.35355138778686523,9925.65625,16000.0,2179.0,0.046875,9925.65625,16000.0,2179.0,0.046875,0.0,364.875,477.0,288.0,0.0,1981.4588383529335,0.269272374920547,99.9312530849129,99.94355442328379,249.6502562938258,50.34546783193946,2394.204683420714,0.15175290759296894,0.37906548844026183,
2,np.float64(3.0),np.int64(3),np.int64(3),np.float64(112.50408494472504),np.float64(31.553189754486084),np.float64(673.511684179306),np.float64(184.7547481060028),np.float64(90.011563539505),np.float64(289.2157955169678),np.float64(297.25883305072784),np.float64(154.6115539073944),np.float64(845.9249210357666),np.float64(0.078125),np.float64(0.0),np.float64(1.0),4.0,0.0,4.0,0.25320249795913696,632342.0,632342.0,0.0,632342.0,632342.0,632342.0,np.float64(0.0023484830977395176),np.float64(-0.00010022877522715134),np.float64(0.0),np.float64(0.010024535655975341),np.float64(0.2827893867851521),np.float64(0.04121182839668386),np.float64(34.93726301193237),np.float64(55.685546875),np.float64(1197.155834197998),np.float64(1e-06),0.2265625,1.5,0.0,0.2265625,1.5,0.0,0.03165820986032486,2.4748666286468506,-1.9843082427978516,0.03165820986032486,2.4748666286468506,-1.9843082427978516,9537.21875,16000.0,2027.0,0.03125,9537.21875,16000.0,2027.0,0.03125,0.0,343.125,447.0,280.0,0.0,1790.3416078002192,0.1726131783798337,120.25329377129674,120.2678809366189,188.44712653988972,51.27107804780826,2162.7785616549663,0.190194358332388,0.29801456575696333,
3,np.float64(3.0),np.int64(3),np.int64(3),np.float64(96.88364707306027),np.float64(32.55470561981201),np.float64(406.79755425453186),np.float64(186.1196903809905),np.float64(90.92945909500122),np.float64(298.76733350753784),np.float64(283.0033374540508),np.float64(138.01248455047607),np.float64(603.5586452484131),np.float64(0.015625),np.float64(0.0),np.float64(1.0),1.0,0.0,7.0,0.23884281516075134,639594.0,639594.0,0.0,639594.0,639594.0,639594.0,np.float64(0.0037933263462036847),np.float64(4.211251416563755e-05),np.float64(2.674511961231474e-06),np.float64(-0.01664884090423584),np.float64(0.3076403120543116),np.float64(0.04197114596701032),np.float64(34.97984838485718),np.float64(55.685546875),np.float64(1197.6694831848145),np.float64(1e-06),0.1953125,1.0,0.0,0.1953125,1.0,0.0,0.015340328216552734,2.4748597145080566,-1.7554209232330322,0.015340328216552734,2.4748597145080566,-1.7554209232330322,9641.28125,15405.0,2322.0,0.0,9641.28125,15405.0,2322.0,0.0,0.0,352.375,442.0,270.0,0.0,1423.2397750010714,0.19520174618810415,106.34838237892836,106.35295245610178,186.5823773657903,50.71364874392748,1779.5043366258033,0.16628197333949626,0.29172002452460516,
4,np.float64(3.0),np.int64(3),np.int64(3),np.float64(116.70427883788943),np.float64(31.05387783050537),np.float64(665.2230186462402),np.float64(229.7976675517857),np.float64(89.94489073753357),np.float64(456.52693271636963),np.float64(346.50194638967514),np.float64(157.43495273590088),np.float64(767.7941107749939),np.float64(0.109375),np.float64(0.0),np.float64(1.0),5.0,0.0,3.0,0.222480908036232,646505.0,646505.0,0.0,646505.0,646505.0,646505.0,np.float64(0.0017354114291568596),np.float64(1.4782771965352973e-05),np.float64(5.916387332642141e-06),np.float64(0.028802753736575443),np.float64(0.34340545627149155),np.float64(0.04629671699892217),np.float64(34.97984838485718),np.float64(55.685546875),np.float64(1199.3068237304688),np.float64(1e-06),0.109375,1.0,0.0,0.109375,1.0,0.0,-0.0054973335936665535,2.1840639114379883,-0.7245674133300781,-0.0054973335936665535,2.1840639114379883,-0.7245674133300781,9712.015625,16000.0,1867.0,0.03125,9712.015625,16000.0,1867.0,0.03125,0.0,389.625,551.0,273.0,0.0,1896.7534941281192,0.2662571999244392,98.56223597889766,98.56835660059005,175.25954031711444,50.402749760076404,2233.5377910262905,0.15246340956464383,0.2710876796267847,
5,np.float64(3.0),np.int64(3),np.int64(3),np.float64(98.58562605455518),np.float64(40.0719690322876),np.float64(372.7403256893158),np.float64(221.67429895326495),np.float64(127.30914902687073),np.float64(405.15440559387207),np.float64(320.25992500782013),np.float64(179.01606822013855),np.float64(625.8872375488281),np.float64(0.078125),np.float64(0.0),np.float64(1.0),5.0,0.0,3.0,0.22813165187835693,729194.0,729194.0,0.0,729194.0,729194.0,729194.0,np.float64(0.0017809431800352676),np.float64(-5.8047103055157224e-05),np.float64(0.0),np.float64(-0.010935948895556586),np.float64(0.2316271230094198),np.float64(0.046749571381793385),np.float64(34.97984838485718),np.float64(55.685546875),np.float64(1197.720802307129),np.float64(1e-06),0.0703125,1.0,0.0,0.0703125,1.0,0.0,0.03186352923512459,2.4748597145080566,-1.207610011100769,0.03186352923512459,2.4748597145080566,-1.207610011100769,11015.90625,16000.0,2316.0,0.046875,11015.90625,16000.0,2316.0,0.046875,0.0,377.75,485.0,306.0,0.0,1582.5409354423173,0.1955235837958753,125.17819741135463,125.18281024182215,200.5162162850611,50.40383641701192,2042.0574872028083,0.17167284733805016,0.27498336010041374,70.8919880958274
6,np.float64(3.0),np.int64(3),np.int64(3),np.float64(95.6056008413434),np.float64(32.05976867675781),np.float64(403.7058024406433),np.float64(216.42907693237066),np.float64(86.09767723083496),np.float64(319.9090714454651),np.float64(312.03467777371407),np.float64(194.0119297504425),np.float64(647.1917233467102),np.float64(0.0625),np.float64(0.0),np.float64(1.0),6.0,0.0,2.0,0.21850624680519104,716538.0,716538.0,0.0,716538.0,716538.0,716538.0,np.float64(0.000993640099685373),np.float64(-7.446875653321123e-05),np.float64(8.49810749059543e-06),np.float64(0.027327339564050947),np.float64(0.11901042984710278),np.float64(0.040580427949029683),np.float64(34.97984838485718),np.float64(55.685546875),np.float64(1202.6712341308594),np.float64(1e-06),0.078125,1.5,0.0,0.078125,1.5,0.0,-0.022471213713288307,1.8919647932052612,-1.135178804397583,-0.022471213713288307,1.8919647932052612,-1.135178804397583,10813.78125,16000.0,2775.0,0.03125,10813.78125,16000.0,2775.0,0.03125,0.0,382.125,525.0,280.0,0.0,1681.2359339278191,0.2550403499044478,112.5708428779617,112.57516176532954,224.32386132422835,49.84518095292151,2080.7518893321976,0.15710982776256044,0.3130662453690221,
7,np.float64(3.0),np.int64(3),np.int64(3),np.float64(94.07334692776203),np.float64(31.58962345123291),np.float64(669.9435796737671),np.float64(228.37343598157167),np.float64(85.7346601486206),np.float64(337.94270730018616),np.float64(322.4467829093337),np.float64(186.26825404167175),np.float64(792.1882486343384),np.float64(0.140625),np.float64(0.0),np.float64(1.0),6.0,0.0,2.0,0.22466377913951874,681301.0,681301.0,0.0,681301.0,681301.0,681301.0,np.float64(0.000867868026640887),np.float64(-0.00011575933740459732),np.float64(4.817011510264517e-06),np.float64(-0.011840314293901125),np.float64(0.21182769804733978),np.float64(0.04622334260752586),np.float64(34.97984838485718),np.float64(55.685546875),np.float64(1202.2453308105469),np.float64(1e-06),0.0546875,1.0,0.0,0.0546875,1.0,0.0,0.01620076410472393,2.1840639114379883,-0.9354107975959778,0.01620076410472393,2.1840639114379883,-0.9354107975959778,10265.703125,16000.0,1491.0,0.015625,10265.703125,16000.0,1491.0,0.015625,0.0,379.625,526.0,240.0,0.0,1570.3052668860182,0.2520570922642946,98.51296633994207,98.51700825802982,188.91067103482783,49.98531338199973,1920.3723106840625,0.14460129701560664,0.2772793097835286,
8,np.float64(2.984375),np.int64(2),np.int64(3),np.float64(109.49954150244594),np.float64(18.03560471534729),np.float64(689.9902091026306),np.float64(198.09386553615332),np.float64(53.93050527572632),np.float64(355.6377069950104),np.float64(307.59340703859925),np.float64(78.8102478981018),np.float64(743.9207143783569),np.float64(0.0625),np.float64(0.0),np.float64(1.0),5.0,0.0,3.0,0.23547577857971191,679327.0,679327.0,0.0,679327.0,679327.0,679327.0,np.float64(0.0011966062569020626),np.float64(-8.48118762254065e-05),np.float64(2.560163920861669e-06),np.float64(0.01404610462486744),np.float64(0.224184527583583),np.float64(0.04989789415240582),np.float64(34.97984838485718),np.float64(55.685546875),np.float64(1207.6779098510742),np.float64(1e-06),0.265625,1.5,0.0,0.265625,1.5,0.0,0.01544819213449955,1.7554209232330322,-1.6651959419250488,0.01544819213449955,1.7554209232330322,-1.6651959419250488,10262.984375,16000.0,1614.0,0.078125,10262.984375,16000.0,1614.0,0.078125,0.0,351.5,534.0,261.0,0.0,1772.1345985592343,0.23310854192823172,117.17697855038568,117.18584417598322,176.06522273318842,50.71484122890979,2128.6401601461694,0.1725028508744437,0.25917595316127345,
9,np.float64(2.984375),np.int64(2),np.int64(3),np.float64(103.40963413566351),np.float64(20.03990912437439),np.float64(689.7044107913971),np.float64(211.66412664949894),np.float64(89.62656712532043),np.float64(346.8613350391388),np.float64(315.07376078516245),np.float64(115.55361366271973),np.float64(848.0279862880707),np.float64(0.078125),np.float64(0.0),np.float64(1.0),4.0,0.0,4.0,0.24996964633464813,652182.0,652182.0,0.0,652182.0,652182.0,652182.0,np.float64(0.0019183407809274893),np.float64(3.3282291648599007e-06),np.float64(0.0),np.float64(0.032186320361991726),np.float64(0.3266337429346196),np.float64(0.047719590258233864),np.float64(34.97984838485718),np.float64(55.685546875),np.float64(1216.6072616577148),np.float64(1e-06),0.265625,2.0,0.0,0.265625,2.0,0.0,-0.03281734511256218,1.9843082427978516,-1.8708215951919556,-0.03281734511256218,1.9843082427978516,-1.8708215951919556,9836.46875,16000.0,1666.0,0.046875,9836.46875,16000.0,1666.0,0.046875,0.0,353.875,491.0,254.0,0.0,1527.693351405207,0.22625926695764065,89.0952591272071,89.09967799996957,173.1365694226697,51.19916661223397,1859.3341055568308,0.13661781220574865,0.2654727812522727,
10,np.float64(2.96875),np.int64(2),np.int64(3),np.float64(102.19252700731158),np.float64(16.53343415260315),np.float64(649.2076201438904),np.float64(221.65568828582764),np.float64(64.5201165676117),np.float64(436.8518738746643),np.float64(323.8482152931392),np.float64(81.05355072021484),np.float64(860.9386339187622),np.float64(0.0625),np.float64(0.0),np.float64(1.0),5.0,0.0,3.0,0.2309640794992447,657925.0,657925.0,0.0,657925.0,657925.0,657925.0,np.float64(0.0024186268953296044),np.float64(-1.6781909456161277e-06),np.float64(2.603678391703094e-06),np.float64(0.03718992446859678),np.float64(0.23175410033141752),np.float64(0.04478280168112694),np.float64(34.97984838485718),np.float64(55.685546875),np.float64(1247.1555938720703),np.float64(1e-06),0.0546875,1.0,0.0,0.0546875,1.0,0.0,-0.016197731718420982,2.4748597145080566,-0.7245660424232483,-0.016197731718420982,2.4748597145080566,-0.7245660424232483,9892.203125,16000.0,2136.0,0.015625,9892.203125,16000.0,2136.0,0.015625,0.0,387.875,504.0,297.0,0.0,1855.807777822949,0.19905426166951656,90.59950239909813,90.60443609301001,183.65443007228896,51.29546886123717,2263.212051999755,0.13771240809060303,0.2791418931827928,69.13988533429801
